date,location,news,killed,arrested,Injured,type,year,date2
January-17,ghotki,Four_killed_in_truck_collision_in_Ghotki,4,0,0,Accident,2016,1_3_2015
November-17,shikarpur,"SHIKARPUR__D.I_KHAN_six_dead,_50_injured_in_three_deadly_road_accidents",6,0,50,Accident,2016,11_22_2014
November-17,hub,"Hub_ill-fated_coach_falls_in_gorge,_five_dead",5,0,0,Accident,2016,11_18_2014
November-17,lahore,Three_dead_in_car-truck_accident_in_Lahore,3,0,0,Accident,2016,11_17_2014
November-17,sukkur,56_dead_in_bus-truck_collision_in_Khairpur,56,0,0,Accident,2016,11_11_2014
November-17,lahore,"Bus-van_collision_kills_four_in_Lahore,_20_injured",4,0,20,Accident,2016,11_6_2014
November-17,lahore,"Van_falls_into_canal_in_Lahore;_two_dead,_17_injured",2,0,17,Accident,2016,11_5_2014
October-17,dhaka,Bus_collision_in_Bangladesh_kills_at_least_20,20,0,0,Accident,2016,10_20_2014
October-17,hub,Bus-truck_collision_leaves_10_dead_in_Balochistan,10,0,0,Accident,2016,10_20_2014
August-17,gilgit,Gilgit_Four_dead_as_passenger_coach_falls_into_gorge,4,0,0,Accident,2016,8_1_2014
July-17,lahore,5_intelligence_agency_personnel_killed_in_road_accident,5,0,0,Accident,2016,7_18_2014
July-17,attock,4_dead_in_car_accident_near_Attock,4,0,0,Accident,2016,7_14_2014
July-17,quetta,Balochistan_Four_children_killed_as_truck_falls_in_ravine,4,0,0,Accident,2016,7_7_2014
June-17,lahore,At_least_21_dead_in_various_traffic_accidents_across_Pakistan,21,0,0,Accident,2016,6_7_2014
July-17,islamabad,ANF_raid_on_drugs,0,10,0,0,2016,7_7_2016
July-17,peshawar,extorsion,0,2,0,0,2016,7_7_2016
July-17,charsadda,terrorist,0,2,0,0,2016,7_6_2016
July-17,islamabad,found_weapons,0,10,0,0,2016,7_6_2016
July-17,karak,smuggle_drug,0,3,0,0,2016,7_6_2016
July-17,quetta,alleged_militant,0,6,0,0,2016,7_4_2016
July-17,peshawar,kidnapper,0,2,0,0,2016,7_4_2016
July-17,jehlum,bribe,0,1,0,0,2016,7_4_2016
July-17,okara,wine,0,9,0,0,2016,7_4_2016
July-17,karachi,corruption,0,3,0,0,2016,7_3_2016
July-17,lahore,gang_busted,0,3,0,0,2016,7_3_2016
July-17,rawalpindi,drug_dealer,0,1,0,0,2016,7_3_2016
July-17,sialkot,human_trafficker,0,1,0,0,2016,7_3_2016
July-17,chakwal,illegal_resident_in_pakistan,0,5,0,0,2016,7_3_2016
July-17,hangu,proclaimed_offenders,0,28,0,0,2016,7_2_2016
July-17,quetta,murder_case,0,3,0,0,2016,7_2_2016
July-17,gujrawala,human_trafficker,0,1,0,0,2016,7_2_2016
July-17,okara,fraud,0,1,0,0,2016,7_2_2016
July-17,karachi,encounter,0,3,0,0,2016,7_1_2016
July-17,karachi,smuggle_drug,0,2,0,0,2016,7_1_2016
July-17,islamabad,decoits,0,4,0,0,2016,7_1_2016
July-17,daska,proclaimed_offenders,0,5,0,0,2016,7_1_2016
June-17,torkham,forign_currency_seized,0,1,0,0,2016,6_30_2016
June-17,peshawar,corruption,0,1,0,0,2016,6_30_2016
June-17,bisham,accused_killing_cop,0,1,0,0,2016,6_30_2016
June-17,karachi,drug_dealer,0,2,0,0,2016,6_30_2016
June-17,bakhar,illegal_drug,0,1,0,0,2016,6_30_2016
June-17,peshawar,suspects,0,67,0,0,2016,6_29_2016
June-17,islamabad,smuggle_heroin,0,1,0,0,2016,6_29_2016
June-17,karachi,extortionists,0,2,0,0,2016,6_29_2016
June-17,jehlum,gambler,0,26,0,0,2016,6_29_2016
June-17,gujrawala,human_trafficker,0,1,0,0,2016,6_29_2016
June-17,quetta,terrorist,0,2,0,0,2016,6_29_2016
June-17,marwat,robber,0,1,0,0,2016,6_29_2016
June-17,peshawar,suspects,0,167,0,0,2016,6_27_2016
June-17,lahore,line_man_take_bribe,0,1,0,0,2016,6_27_2016
June-17,hangu,militant,0,2,0,0,2016,6_27_2016
June-17,rawalpindi,drug_smuggler,0,24,0,0,2016,6_26_2016
June-17,lahore,illegal_arms_weapons,0,1,0,0,2016,6_26_2016
June-17,karachi,decoits,0,1,0,0,2016,6_28_2016
June-17,peshawar,alleged_terrorist,0,2,0,0,2016,6_24_2016
June-17,rawalpindi,gang_dealer,0,5,0,0,2016,6_24_2016
June-17,karachi,immigrants_arrested,0,51,0,0,2016,6_23_2016
June-17,islamabad,accused_illegal_sale,0,3,0,0,2016,6_23_2016
June-17,lahore,fraudsters_,0,1,0,0,2016,6_23_2016
June-17,islamabad,motorcycle_lifter,0,8,0,0,2016,6_22_2016
June-17,karachi,drug,0,2,0,0,2016,6_22_2016
